马克思　恩格斯：《共产党宣言》	Manifest der Kommunistischen Partei Karl MarxFriedrich Engels
但是，在你们的现存社会里，私有财产对十分之九的成员来说已经被消灭了；这种私有制之所以存在，正是因为私有财产对十分之九的成员来说已经不存在。	Aber in Eurer bestehenden Gesellschaft ist das Privateigenthum für 9 Zehntel ihrer Mitglieder aufgehoben; es existirt gerade dadurch, daß es für 9 Zehntel nicht existirt.
可见，你们责备我们，原来是说我们要消灭那种以社会上的绝大多数人没有财产为必要条件的所有制。	Ihr werft uns also vor, daß wir ein Eigenthum aufheben wollen, welches die Eigenthumslosigkeit der ungeheuren Mehrzahl der Gesellschaft als nothwendige Bedingung voraussetzt.
总而言之，你们责备我们，原来是说我们要消灭你们的那种所有制。	Ihr werft uns mit einem Wort vor, daß wir Euer Eigenthum aufheben wollen.
的确，我们是要这样做的。	Allerdings das wollen wir.
你们说，从劳动不再能变为资本、货币、地租，一名话，不再能变为可以垄断的社会力量的时候起，就是说，从个人财产不再能变为资产阶级财产的时候起，个性就被消灭了。	Von dem Augenblick an, wo die Arbeit nicht mehr in Kapital, Geld, Grundrente, kurz, in eine monopolisirbare gesellschaftliche Macht verwandelt werden kann, d. h. von dem Augenblick, wo das persönliche Eigenthum nicht mehr in bürgerliches umschlagen kann, von dem Augenblick an erklärt Ihr die Person sei aufgehoben.
由此可见，你们是承认，你们所理解的个性，不外是资产者、资产阶级私有者。	Ihr gesteht also, daß Ihr unter der Person Niemanden anders versteht, als den Bourgeois, den bürgerlichen Eigenthümer.
这样的个性确实应当被消灭。	Und diese Person soll allerdings aufgehoben werden.
共产主义并不剥夺任何人占有社会产品的权力，它只剥夺利用这种占有去奴役他人劳动的权力。	Der Kommunismus nimmt keinem die Macht sich gesellschaftliche Produkte anzueignen, er nimmt nur die Macht sich durch diese Aneignung fremde Arbeit zu unterjochen.
有人反驳说，私有制一消灭，一切活动就会停止，懒惰之风就会兴起。	Man hat eingewendet, mit der Aufhebung des Privateigenthums werde alle Thätigkeit aufhören und eine allgemeine Faulheit einreißen.
这样说来，资产阶级社会早就应该因懒惰而灭亡了，因为在这个社会里是劳者不获，获者不劳的。	Hiernach müßte die bürgerliche Gesellschaft längst an der Trägheit zu Grunde gegangen sein; denn die in ihr arbeiten, erwerben nicht, und die in ihr erwerben, arbeiten nicht.
所有这些顾虑，都可以归结为这样一个同义反复：一旦没有资本，也就不再有雇佣劳动了。	Das ganze Bedenken läuft auf die Tautologie hinaus, daß es keine Lohnarbeit mehr gibt, sobald es kein Kapital mehr gibt.
所有这些对共产主义的物质产品的占有方式和生产方式 的责备， 都同样被推广到精神产品的占有和生产方面。	Alle Einwürfe die gegen die kommunistische Aneignungsund Produktionsweise der materiellen Produkte gerichtet werden, sind eben so auf die Aneignung und Produktion der geistigen Produkte ausgedehnt worden.
正如消灭阶级的所有制在资产者看来是消灭生产本身一样，消灭阶级的教育在他们看来就等于消灭一切教育。	Wie für den Bourgeois das Aufhören des Klasseneigenthums das Aufhören der Produktion selbst ist, so ist für ihn das Aufhören der Klassenbildung identisch mit dem Aufhören der Bildung überhaupt.
资产者唯恐其灭亡的那种教育，对绝大多数人来说不过是把人训练成机器罢了。	Die Bildung, deren Verlust er bedauert, ist für die enorme Mehrzahl die Heranbildung zur Maschine.
但是，你们既然用你们资产阶级关于自由、教育、法等等的观念来衡量废除资产阶级所有制的主张，那就请你们不要同我们争论了。	Aber streitet nicht mit uns, indem Ihr an Euren bürgerlichen Vorstellungen von Freiheit, Bildung, Recht u. s. w. die Abschaffung des bürgerlichen Eigenthums meßt.
你们的观念本身是资产阶级的生产关系和所有制关系的产物，正象你们的法不过是被奉为法律的你们这个阶级的意志一样，而这种意志的内容是由你们这个阶级的物质生活条件来决定的。	Eure Ideen selbst sind Erzeugnisse der bürgerlichen Produktionsund Eigenthums-Verhältnisse, wie Euer Recht nur der zum Gesetz erhobene Wille Eurer Klasse ist, ein Wille, dessen Inhalt gegeben ist in den materiellen Lebensbedingungen Eurer Klasse.
你们的偏私观念使你们把自己的生产关系和所有制关系从历史的、在生产过程中是暂时的关系变成永恒的自然规律和理性规律，这种偏私观念是你们和一切灭亡了的统治阶级所共有的。	Die interessirte Vorstellung, worin Ihr Eure Produktionsund Eigenthums-Verhältnisse aus geschichtlichen, in dem Lauf der Produktion vorübergehenden Verhältnissen in ewige Natur und Vernunftgesetze verwandelt, theilt Ihr mit allen untergegangenen herrschenden Klassen.
你们谈到古代所有制的时候所能理解的，你们谈到封建所有制的时候所能理解的，一谈到资产阶级所有制你们就再也不能理解了。	Was ihr für das antike Eigenthum begreift, was Ihr für das feudale Eigenthum begreift, dürft Ihr nicht mehr begreifen für das bürgerliche Eigenthum.
消灭家庭！	Aufhebung der Familie!
连极端的激进党人也对共产党人的这种可耻的意图表示愤慨。	Selbst die Radikalsten ereifern sich über diese schändliche Absicht der Kommunisten.
现代的、资产阶级的家庭是建筑在什么基础上的呢？	Worauf beruht die gegenwärtige, die bürgerliche Familie?
是建筑在资本上面，建筑在私人发财上面的。	Auf dem Kapital, auf dem Privaterwerb.
这种家庭的充分发展的形式，只是在资产阶级中才存在，而它的补充现象是无产者的被迫独居和公开的卖淫。	Vollständig entwickelt existirt sie nur für die Bourgeoisie; aber sie findet ihre Ergänzung in der erzwungenen Familienlosigkeit der Proletarier und der öffentlichen Prostitution.
资产者的家庭自然会随着它的这种补充现象的消失而消失，两者都要随着资本的消失而消失。	Die Familie des Bourgeois fällt natürlich weg, mit dem Wegfallen dieser ihrer Ergänzung und beide verschwinden mit dem Verschwinden des Kapitals.
也许你们是责备我们，说我们要消灭父母对子女的剥削吧？	Werft Ihr uns vor, daß wir die Ausbeutung der Kinder durch ihre Eltern aufheben wollen?
我们承认这种罪状。	Wir gestehen dies Verbrechen ein.
但是，你们说，我们用社会教育代替家庭教育，就是要消灭人们最亲密的关系。	Aber sagt Ihr, wir heben die trautesten Verhältnisse auf, indem wir an die Stelle der häuslichen Erziehung die gesellschaftliche setzen.
而你们的教育不也是由社会决定的吗？	Und ist nicht auch Eure Erziehung durch die Gesellschaft bestimmt?
不也是由你们借以进行教育的那种社会关系决定的吗？不也是由社会通过学校等等进行的直接的或间接的干涉决定的吗？	Durch die gesellschaftlichen Verhältnisse, innerhalb derer Ihr erzieht, durch die direktere oder indirektere Einmischung der Gesellschaft vermittelst der Schule u. s. w.?
共产党人并没有发明社会对教育的影响；他们仅仅是要改变这种影响的性质，要使教育摆脱统治阶级的影响。	Die Kommunisten erfinden nicht die Einwirkung der Gesellschaft auf die Erziehung; sie verändern nur ihren Charakter, sie entreißen die Erziehung dem Einfluß einer herrschenden Klasse.
无产者的一切家庭联系愈是由于大工业的发展而被破坏，他们的子女愈是由于这种发展而被变成单纯的买卖对象和劳动工具，资产阶级关于家庭和教育、关于父母和子女的亲密关系的空话就愈是令人作呕。	Die bürgerlichen Redensarten über Familie und Erziehung über das traute Verhältniß von Eltern und Kindern werden um so ekelhafter, je mehr in Folge der großen Industrie alle Familienbande für die Proletarier zerrissen und die Kinder in einfache Handelsartikel und Arbeitsinstrumente verwandelt werden.
但是，你们共产党人是要实行公妻制的啊，──整个资产阶级异口同声地我们这样叫喊。	Aber Ihr Kommunisten wollt die Weibergemeinschaft einführen, schreit uns die ganze Bourgeoisie im Chor entgegen.
资产者原来是把自己的妻子看做单纯的生产工具的。	Der Bourgeois sieht in seiner Frau ein bloßes Produktions-Instrument.
他们听说生产工具将要公共使用，自然就不能不想到妇女也会遭到同样的命运。	Er hört, daß die Produktions-Instrumente gemeinschaftlich ausgebeutet werden sollen und kann sich natürlich nichts anders denken, als daß das Loos der Gemeinschaftlichkeit die Weiber gleichfalls treffen wird.
他们想也没有想到，问题正在于消灭妇女被当做单纯生产工具看待的地位。	Er ahnt nicht, daß es sich eben darum handelt, die Stellung der Weiber als bloßer Produktions-Instrumente aufzuheben.
其实，我们的资产者装得道貌岸然，对所谓的共产党人的正式公妻制表示惊讶，那是再可笑不过了。	Uebrigens ist nichts lächerlicher als das hochmoralische Entsetzen unsrer Bourgeois über die angebliche officielle Weibergemeinschaft der Kommunisten.
公妻制无需共产党人来实行，它差不多是一向就有的。	Die Kommunisten brauchen die Weibergemeinschaft nicht einzuführen, sie hat fast immer existirt.
我们的资产者不以他们的无产者的妻子和女儿受他们支配为满足，正式的娼妓更不必说了，他们还以互相诱奸妻子为最大的享乐。	Unsre Bourgeois, nicht zufrieden damit, daß ihnen die Weiber und Töchter ihrer Proletarier zur Verfügung stehen, von der officiellen Prostitution gar nicht zu sprechen, finden ein Hauptvergnügen darin, ihre Ehefrauen wechselseitig zu verführen.
资产阶级的婚姻实际上是公妻制。	Die bürgerliche Ehe ist in Wirklichkeit die Gemeinschaft der Ehefrauen.
人们至多只能责备共产党人，说他们想用正式的、公开的公妻制来代替伪善地掩蔽着的公妻制。	Man könnte höchstens den Kommunisten vorwerfen, daß sie an der Stelle einer heuchlerisch versteckten, eine officielle, offenherzige Weibergemeinschaft einführen wollten.
其实，不言而喻，随着现在的生产关系的消灭，从这种关系中产生的公妻制，即正式的和非正式的卖淫，也就消失了。	Es versteht sich übrigens von selbst, daß mit Aufhebung der jetzigen Produktions-Verhältnisse auch die aus ihnen hervorgehende Weibergemeinschaft, d. h. die officielle und nichtofficielle Prostitution verschwindet.
还有人责备共产党人，说他们要取消祖国，取消民族。	Den Kommunisten ist ferner vorgeworfen worden, sie wollten das Vaterland, die Nationalität abschaffen.
工人没有祖国。	Die Arbeiter haben kein Vaterland.
决不能剥夺他们所没有的东西。	Man kann ihnen nicht nehmen, was sie nicht haben.
因为无产阶级首先必须取得政治统治，上升为民族的阶级，把自身组织成为民族，所以它本身暂时还是民族的，虽然这里所说的“民族的”一词和资产阶级所理解的完全不同。	Indem das Proletariat zunächst sich die politische Herrschaft erobern, sich zur nationalen Klasse erheben, sich selbst als Nation konstituiren muß, ist es selbst noch national, wenn auch keineswegs im Sinne der Bourgeoisie.
随着资产阶级的发展，随着贸易自由的实现和世界市场的建立，随着工业生产以及与之相适应的生活条件的趋于一致，各国人民之间的民族隔绝和对立日益消失了。	Die nationalen Absonderungen und Gegensätze der Völker verschwinden mehr und mehr schon mit der Entwicklung der Bourgeoisie, mit der Handelsfreiheit, dem Weltmarkt, der Gleichförmigkeit der industriellen Produktion und der ihr entsprechenden Lebensverhältnisse.
无产阶级的统治将使它们更快地消失。	Die Herrschaft des Proletariats wird sie noch mehr verschwinden machen.
联合的行动，至少是各文明国家的联合的行动，是无产阶级获得解放的首要条件之一。	Vereinigte Aktion wenigstens der civilisirten Länder ist eine der ersten Bedingungen seiner Befreiung.
人对人的剥削一消灭，民族对民族的剥削就会随之消灭。	In dem Maße wie die Exploitation des einen Individuums durch das andere aufgehoben wird, wird die Exploitation einer Nation durch die andere aufgehoben.
民族内部的阶级对立一消失，民族之间的敌对关系就会随之消失。	[15] Mit dem Gegensatz der Klassen im Innern der Nation fällt die feindliche Stellung der Nationen gegen einander.
从宗教的、哲学的和一般意识形态的观点对共产主义提出的种种责难，都不值得详细讨论了。	Die Anklagen gegen den Kommunismus, die von religiösen, philosophischen und ideologischen Gesichtspunkten überhaupt erhoben werden, verdienen keine ausführlichere Erörterung.
人们的观念、观点和概念，一名话，人们的意识，随着人们的生活条件、人们的社会关系、人们的社会存在的改变而改变，这难道需要经过深思才能了解吗？	Bedarf es tiefer Einsicht, um zu begreifen, daß mit den Lebensverhältnissen der Menschen, mit ihren gesellschaftlichen Beziehungen, mit ihrem gesellschaftlichen Dasein auch ihre Vorstellungen, Anschauungen und Begriffe, mit einem Worte auch ihr Bewußtsein sich ändert?
思想的历史除了证明精神生产随着物质生产的改造而改造，还证明了什么呢？	Was beweist die Geschichte der Ideen anders, als daß die geistige Produktion sich mit der materiellen umgestaltet.
任何一个时代的统治思想始终都不过是统治阶级的思想。	Die herrschenden Ideen einer Zeit waren stets nur die Ideen der herrschenden Klasse.
当人们谈到使整个社会革命化的思想时，他们只是表明了一个事实：在旧社会内部已经形成了新社会的因素，旧思想的瓦解是同旧生活条件的瓦解步调一致的。	Man spricht von Ideen, welche eine ganze Gesellschaft revolutioniren; man spricht damit nur die Thatsache aus, daß sich innerhalb der alten Gesellschaft die Elemente einer neuen gebildet haben, daß mit der Auflösung der alten Lebensverhältnisse die Auflösung der alten Ideen gleichen Schritt hält.
当古代世界走向灭亡的时候，古代的各种宗教就被基督教战胜了。	Als die alte Welt im Untergehen begriffen war, wurden die alten Religionen von der christlichen Religion besiegt.
当基督教思想在十八世纪被启蒙思想击败的时候，封建社会正在同当时革命的资产阶级进行殊死的斗争。	Als die christlichen Ideen im 18. Jahrhundert den Aufklärungs-Ideen unterlagen, rang die feudale Gesellschaft ihren Todeskampf mit der damals revolutionären Bourgeoisie.
信仰自由和宗教自由的思想，不过表明自由竞争在信仰的领域里占统治地位罢了。	Die Ideen der Gewissensund Religionsfreiheit sprachen nur die Herrschaft der freien Konkurrenz auf dem Gebiete des Gewissens aus.
“诚然”，──有人会说，──“宗教的、道德的、哲学的、政治的、法的以及其他的观念在历史发展的进程中是不断改变的。	Aber wird man sagen, religiöse, moralische, philosophische, politische, rechtliche Ideen u. s. w. modificirten sich allerdings im Lauf der geschichtlichen Entwicklung.
但是，宗教、道德、哲学、政治和法本身在这种变化中却始终保存着。	Die Religion, die Moral, die Philosophie, die Politik, das Recht erhielten sich stets in diesem Wechsel.
此外，还存在着永恒的真理，如自由、正义等等，这些真理是社会发展的一切阶段所共有的。	Es gibt zudem ewige Wahrheiten, wie Freiheit, Gerechtigkeit u. s. w., die allen gesellschaftlichen Zuständen gemeinsam sind.
但是共产主义要废除永恒的真理，它要废除宗教、道德，而不是加以革新，所以共产主义是同到目前为止的全部历史发展进程相矛盾的。”	Der Kommunismus aber schafft die ewigen Wahrheiten ab, er schafft die Religion ab, die Moral, statt sie neu zu gestalten, er widerspricht also allen bisherigen geschichtlichen Entwicklungen.
这种责难有什么意思呢？	Worauf reducirt sich diese Anklage?
到目前为止的一切社会的历史都是在阶级对立中运动的，而这种对立在各个不同的时代是各不相同的。	Die Geschichte der ganzen bisherigen Gesellschaft bewegte sich in Klassengegensätzen, die in den verschiedenen Epochen verschieden gestaltet waren.
但是，不管这种对立具有什么样的形式，社会上一部分人对另一部分人的剥削却是过去各个世纪所共有的事实。	Welche Form sie aber auch immer angenommen, die Ausbeutung des einen Theils der Gesellschaft durch den andern ist eine allen vergangenen Jahrhunderten gemeinsame Thatsache.
因此，毫不奇怪，各个世纪的社会意识，尽管形形色色、千差万别，总是在某种共同的形式中运动的，这些形式，这些意识形式，只有当阶级对立完全消失的时候才会完全消失。	Kein Wunder daher, daß das gesellschaftliche Bewußtsein aller Jahrhunderte, aller Mannigfaltigkeit und Verschiedenheit zum Trotz, in gewissen gemeinsamen Formen sich bewegt, Formen, Bewußtseinsformen, die nur mit dem gänzlichen Verschwinden des Klassengegensatzes sich vollständig auflösen.
共产主义革命就是同传统的所有制关系实行最彻底的决裂；毫不奇怪，它在自己的发展进程中要同传统的观念实行最彻底的决裂。	Die kommunistische Revolution ist das radikalste Brechen mit den überlieferten Eigenthums-Verhältnissen, kein Wunder, daß in ihrem Entwicklungsgange am radikalsten mit den überlieferten Ideen gebrochen wird.
不过，我们还是把资产阶级对共产主义的种种责难撇开吧。	Doch lassen wir die Einwürfe der Bourgeoisie gegen den Kommunismus.
前面我们已经看到，工人革命的第一步就是使无产阶级上升为统治阶级，争得民主。	Wir sahen schon oben, daß der erste Schritt in der Arbeiter-Revolution die Erhebung des Proletariats zur herrschenden Klasse, die Erkämpfung der Demokratie ist.
无产阶级将利用自己的政治统治，一步一步地夺取资产阶级的全部资本，把一切生产工具集中在国家即组织成为统治阶级的无产阶级手里，并且尽可能快地增加生产力的总量。	Das Proletariat wird seine politische Herrschaft dazu benutzen der Bourgeoisie nach und nach alles Kapital zu entreißen, alle Produktions-Instrumente in den Händen des Staats, d. h. des als herrschende Klasse organisirten Proletariats zu centralisiren und die Masse der Produktionskräfte möglichst rasch zu vermehren.
要做到这一点，当然首先必须对所有权和资产阶级生产关系实行强制性的干涉，采取这样一些措施，这些措施在经济上似乎是不够充分的和没有力量的，但是在运动进程中它们会越出本身，而且作为变革全部生产方式的手段是必不可少的。	[16] Es kann dies natürlich zunächst nur geschehen vermittelst despotischer Eingriffe in das Eigenthumsrecht und in die bürgerlichen Produktions-Verhältnisse, durch Maaßregeln also, die ökonomisch unzureichend und unhaltbar erscheinen, die aber im Lauf der Bewegung über sich selbst hinaus treiben und als Mittel zur Umwälzung der ganzen Produktionsweise unvermeidlich sind.
这些措施在不同的国家里当然会是不同的。	Diese Maaßregeln werden natürlich je nach den verschiedenen Ländern verschieden sein.
但是，最先进的国家几乎都可以采取下面的措施：	Für die fortgeschrittensten Länder werden jedoch die folgenden ziemlich allgemein in Anwendung kommen können:
1． 剥夺地产，把地租用于国家支出。	1) Expropriation des Grundeigenthums und Verwendung der Grundrente zu Staatsausgaben.
2． 征收高额累进税。	2) Starke Progressiv-Steuer.
3． 废除继承权。	3) Abschaffung des Erbrechts.
4． 没收一切流亡分子和叛乱分子的财产。	4) Konfiskation des Eigenthums aller Emigranten und Rebellen.
5． 通过拥有国家资本和独享垄断权的国家银行，把信贷集中在国家手里。	5) Centralisation des Kredits in den Händen des Staats durch eine Nationalbank mit Staatskapital und ausschließlichem Monopol.
6． 把全部运输业集中在国家手里。	6) Centralisation alles Transportwesens in den Händen des Staats.
7． 增加国营工厂和生产工具，按照总的计划开垦荒地和改良土壤。	7) Vermehrung der Nationalfabriken, Produktions-Instrumente, Urbarmachung und Verbesserung der Ländereien nach einem gemeinschaftlichen Plan.
8． 实行普遍劳动义务制，成立产业军，特别是在农业方面。	8) Gleicher Arbeitszwang für Alle, Errichtung industrieller Armeen besonders für den Ackerbau.
9． 把农业和工业结合起来，促使城乡之间的对立逐步消灭。	9) Vereinigung des Betriebs von Ackerbau und Industrie, Hinwirken auf die allmählige Beseitigung des Gegensatzes von Stadt und Land.
10． 对一切儿童实行公共的和免费的教育。	10) Oeffentliche und unentgeltliche Erziehung aller Kinder.
取消现在这种形式的儿童的工厂劳动。	Beseitigung der Fabrikarbeit der Kinder in ihrer heutigen Form.
把教育同物质生产结合起来，等等。	Vereinigung der Erziehung mit der materiellen Produktion u. s. w., u. s. w.
在发展进程中，当阶级差别已经消失而全部生产集中在联合起来的个人的手里的时候，公众的权力就失去政治性质。	Sind im Laufe der Entwicklung die Klassenunterschiede verschwunden, und ist alle Produktion in den Händen der associrten Individuen koncentrirt, so verliert die öffentliche Gewalt den politischen Charakter.
原来意义上的政治权力，是一个阶级用以压迫另一个阶级的有组织的暴力。	Die politische Gewalt im eigentlichen Sinn ist die organisirte Gewalt einer Klasse zur Unterdrückung einer andern.
如果说无产阶级在反对资产阶级的斗争中一定要联合为阶级，如果说它通过革命使自己成为统治阶级，并以统治阶级的资格用暴力消灭旧的生产关系，那末它在消灭这种生产关系的同时，也就消灭了阶级对立和阶级本身的存在条件，从而消灭了它自己这个阶级的统治。	Wenn das Proletariat im Kampfe gegen die Bourgeoisie sich nothwendig zur Klasse vereint, durch eine Revolution sich zur herrschenden Klasse macht, und als herrschende Klasse gewaltsam die alten Produktions-Verhältnisse aufhebt, so hebt es mit diesen Produktions-Verhältnissen die Existenz-Bedingungen des Klassengegensatzes der Klassen überhaupt, und damit seine eigene Herrschaft als Klasse auf.
代替那存在着阶级和阶级对立的资产阶级旧社会的，将是这样一个联合体，在那里，每个人的自由发展是一切人的自由发展的条件。	An die Stelle der alten bürgerlichen Gesellschaft mit ihren Klassen und Klassen-Gegensätzen tritt eine Association, worin die freie Entwicklung eines Jeden, die Bedingung für die freie Entwicklung Aller ist.
三、社会主义的和共产主义的文献	III. Socialistische und kommunistische Literatur.
1．反动的社会主义	1) Der reaktionaire Socialismus.
（甲）封建的社会主义	a) Der feudale Socialismus.
法国和英国的贵族，按照他们的历史地位所负的使命，就是写一些抨击现代资产阶级社会的作品。	Die französische und englische Aristokratie war ihrer geschichtlichen Stellung nach dazu berufen, Pamphlete gegen die moderne bürgerliche Gesellschaft zu schreiben.
在法国的1830年七月革命和英国的改革运动中，他们再一次被可恨的暴发户打败了。	In der französischen Julirevolution von 1830, in der englischen Reformbewegung war sie noch einmal dem verhaßten Emporkömmling erlegen.
从此就再谈不上严重的政治斗争了。	Von einem ernsten politischen Kampfe konnte nicht mehr die Rede sein.
他们还能进行的只是文字斗争。	Nur der [17] literarische Kampf blieb ihr übrig.
但是，即使在文字方面也不可能重弹复辟时期的老调了。	Aber auch auf dem Gebiete der Literatur waren die alten Redensarten der Restaurationszeit unmöglich geworden.
为了激起同情，贵族们不得不装模做样，似乎他们已经不关心自身的利益，似乎只是为了被剥削的工人阶级的利益，才声讨资产阶级。	Um Sympathie zu erregen, mußte die Aristokratie scheinbar ihre Interessen aus den Augen verlieren und nur noch im Interesse der exploitirten Arbeiterklasse ihren Anklageakt gegen die Bourgeoisie formuliren.
他们用来泄愤的手段是：唱唱诅咒他们的新统治者的歌，并向他叽叽咕咕地说一些或多或少凶险的预言。	Sie bereitete sich so die Genugthuung vor, Schmählieder auf ihren neuen Herrscher singen und mehr oder minder unheilschwangere Prophezeihungen ihm in’s Ohr raunen zu dürfen.
这样就产生了封建的社会主义，其中半是挽歌，半是谤文；半是过去的回音，半是未来的恫吓；它有时也能用辛辣、俏皮而尖刻的评论刺中资产阶级的心，但是它由于完全不能理解现代历史的进程而总是令人感到可笑。	Auf diese Art entstand der feudalistische Socialismus, halb Klagelied, halb Pasquill, halb Rückhall der Vergangenheit, halb Dräuen der Zukunft, mitunter die Bourgeoisie in’s Herz treffend durch bittres, geistreich zerreißendes Urtheil, stets komisch wirkend durch gänzliche Unfähigkeit den Gang der modernen Geschichte zu begreifen.
为了拉拢人民，贵族们把无产阶级的乞食袋当做旗帜来挥舞。	Den proletarischen Bettlersack schwenkten sie als Fahne in der Hand, um das Volk hinter sich her zu versammeln.
但是，每当人民跟着他们走的时候，都发现他们的臀部带有旧的封建纹章，于是就哈哈大笑，一哄而散。	So oft es ihnen aber folgte, erblickte es auf ihrem Hintern die alten feudalen Wappen und verlief sich mit lautem und unehrerbietigem Gelächter.
一部分法国正统派和“青年英国”，都表演过这出戏。	Ein Theil der französischen Legitimisten und das junge England gaben dies Schauspiel zum Besten.
封建主说，他们的剥削方式和资产阶级的剥削不同，那他们只是忘记了，他们是在完全不同的、目前已经过时的情况和条件下进行剥削的。	Wenn die Feudalen beweisen, daß ihre Weise der Ausbeutung anders gestaltet war als die bürgerliche Ausbeutung, so vergessen sie nur, daß sie unter gänzlich verschiedenen und jetzt überlebten Umständen und Bedingungen ausbeuteten.
他们说，在他们的统治下并没有出现过现代的无产阶级，那他们只是忘记了，现代的资产阶级正是他们的社会制度的必然产物。	Wenn sie nachweisen, daß unter ihrer Herrschaft nicht das moderne Proletariat existirt hat, so vergessen sie nur, daß eben die moderne Bourgeoisie ein nothwendiger Sprößling ihrer Gesellschaftsordnung war.
不过，他们毫不掩饰自己的批评的反动性质，他们控告资产阶级的主要罪状正是在于：在资产阶级的统治下有一个将把整个旧社会制度炸毁的阶级发展起来。	Uebrigens verheimlichen sie den reaktionären Charakter ihrer Kritik so wenig, daß ihre Hauptanklage gegen die Bourgeoisie eben darin besteht, unter ihrem Regime entwickele sich eine Klasse, welche die ganze alte Gesellschaftsordnung in die Luft sprengen werde.
他们责备资产阶级，与其说是因为它产生了一般的无产阶级，不如说是因为它产生了革命的无产阶级。	Sie werfen der Bourgeoisie mehr noch vor, daß sie ein revolutionäres Proletariat, als daß sie überhaupt ein Proletariat erzeugt.
因此，在政治实践中，他们参与对工人阶级采取的一切暴力措施，而在日常生活中，他们违背自己的那一套冠冕堂皇的言词，屈身拾取金苹果，不顾信义、仁爱和名誉去做羊毛、甜菜和烧酒的买卖。	In der politischen Praxis nehmen sie daher an allen Gewaltmaßregeln gegen die Arbeiterklasse Theil, und im gewöhnlichen Leben bequemen sie sich, allen ihren aufgeblähten Redensarten zum Trotz, die goldenen Aepfel aufzulesen, und Treue, Liebe, Ehre mit dem Schacher in Schaafswolle, Runkelrüben und Schnapps zu vertauschen.
正如僧侣总是同封建主携手同行一样，僧侣的社会主义也总是同封建的社会主义携手同行的。	Wie der Pfaffe immer Hand in Hand ging mit dem Feudalen, so der pfäffische Socialismus mit dem feudalistischen.
要给基督教禁欲主义涂上一层社会主义的色彩，是再容易不过了。	Nichts leichter, als dem christlichen Ascetismus einen socialistischen Anstrich zu geben.
基督教不是也激烈反对私有制，反对婚姻，反对国家吗？	Hat das Christenthum nicht auch gegen das Privateigenthum, gegen die Ehe, gegen den Staat geeifert?
它不是提倡用行善和求乞、独身和禁欲、修道和礼拜来代替这一切吗？	Hat es nicht die Wohlthätigkeit und den Bettel, das Cölibat und die Fleischesertödtung, das Zellenleben und die Kirche an ihre Stelle gepredigt?
基督教的社会主义，只不过是僧侣用来使贵族的怨愤神圣化的圣水罢了。	Der heitige Socialismus ist nur das Weihwasser, womit der Pfaffe den Aerger des Aristokraten einsegnet.
（乙）小资产阶级的社会主义	b) Kleinbürgerlicher Socialismus.
封建贵族并不是被资产阶级所推翻的、其生活条件在现代资产阶级社会里日益恶化和消失的唯一阶级。	Die feudale Aristokratie ist nicht die einzige Klasse, welche durch die Bourgeoisie gestürzt wurde, deren Lebensbedingungen in der modernen bürgerlichen Gesellschaft verkümmerten und abstarben.
中世纪的城关市民等级和小农等级是现代资产阶级的前身。	Das mittelalterliche Pfahlbürgerthum und der kleine Bauernstand waren die Vorläufer der modernen Bourgeoisie.
在工商业不很发达的国家里，这个阶级至今还在新兴的资产阶级身旁苟延残喘。	In den weniger industriell und kommerciell entwickelten Ländern vegetirt diese Klasse noch fort neben der aufkommenden Bourgeoisie.
在现代文明已经发展的国家里,形成了一个新的小资产阶级， 它摇摆于无产阶级和资产阶级之间，并且作为资产阶级社会的补充部分不断地重新组成。但是，这一阶级的成员经常被竞争抛到无产阶级队伍里去，而且，随着大工业的发展，他们甚至觉察到，他们很快就会完全失去他们作为现代社会中一个独立部分的地位，在商业、工业和农业中很快就会被监工和雇员所代替。	[18] In den Ländern, wo sich die moderne Civilisation entwickelt hat, hat sich eine neue Kleinbürgerschaft gebildet, die zwischen dem Proletariat und der Bourgeoisie schwebt und als ergänzender Theil der bürgerlichen Gesellschaft stets von Neuem sich bildet, deren Mitglieder aber beständig durch die Konkurrenz in’s Proletariat hinabgeschleudert werden, ja selbst mit der Entwicklung der großen Industrie einen Zeitpunkt herannahen sehen, wo sie als selbstständiger Theil der modernen Gesellschaft gänzlich verschwinden, und im Handel, in der Manufaktur, in der Agrikultur durch Arbeitsaufseher und Domestiken ersetzt werden.
在农民阶级远远超过人口半数的国家，例如在法国，那些站在无产阶级方面反对资产阶级的著作家，自然是用小资产阶级和小农的尺度去批判资产阶级制度的，是从小资产阶级的立场出发替工人说话的。	In Ländern wie in Frankreich, wo die Bauernklasse weit mehr als die Hälfte der Bevölkerung ausmacht, war es natürlich, daß Schriftsteller, die für das Proletariat gegen die Bourgeoisie auftraten, an ihre Kritik des Bourgeoisregime’s den kleinbürgerlichen und kleinbäuerlichen Maaßstab anlegten und die Partei der Arbeiter vom Standpunkt des Kleinbürgerthums ergriffen.
这样就形成了小资产阶级的社会主义。	Es bildete sich so der kleinbürgerliche Socialismus.
西斯蒙第就是这个学派的首领，对法国来说是这样，对英国来说也是这样。	Sismondi ist das Haupt dieser Literatur nicht nur für Frankreich sondern auch für England.
这种社会主义非常精辟地分析了现代生产关系中的矛盾。	Dieser Socialismus zergliederte höchst scharfsinnig die Widersprüche in den modernen Produktionsverhältnissen.
